구분,연도,지표,값,단위,출처
국내,2023,로봇산업 매출액,5.98,조원,산업부·KIRIA 로봇산업 실태조사(2024 발표)
국내,2024,로봇산업 매출액,6.1695,조원,산업부·KIRIA 로봇산업 실태조사(2025.12 발표)
국내,2024,로봇 생산액,5.9447,조원,동일
국내,2024,로봇 수출액,1.2578,조원,동일
국내,2024,로봇 수입액,0.6895,조원,동일
국내,2024,제조업용 로봇 매출액,3.1075,조원,동일 (전체의 50.4%)
국내,2024,로봇 사업체 수,2509,개사,동일 (-0.6% YoY)
국내,2024,로봇산업 종사자,34649,명,동일 (+2.4% YoY)
국내,2030,정부 목표 로봇산업 규모,20,조원,첨단로봇 산업 비전과 전략(2023)
국내,2030,정부 목표 로봇 보급대수,100,만대,동일
국내,2030,민관 투자 계획,3,조원,동일
국내,2030,K-휴머노이드 연합 투자 목표,1,조원,산업부 K-휴머노이드 연합(2025)
글로벌,2024,산업용 로봇 시장,167,억달러,IFR/로봇신문 (+1.2% YoY)
글로벌,2025,산업용 로봇 설치대수,57.5,만대,IFR (+6% YoY)
글로벌,2026,산업용 로봇 설치 증가율,7,%,IFR 전망
글로벌,2027,산업용 로봇 설치 증가율,7,%,IFR 전망
글로벌,2025,서비스 로봇 시장,263.5,억달러,Fortune Business Insights
글로벌,2026,서비스 로봇 시장,311.1,억달러,동일
글로벌,2034,서비스 로봇 시장,1319,억달러,동일
휴머노이드,2025,글로벌 시장 규모,15,억달러,시장조사 종합(CAGR 38%)
휴머노이드,2035,글로벌 시장 규모,378,억달러,동일
휴머노이드,2025,글로벌 출하량(골드만삭스),0.8,만대,Goldman Sachs
휴머노이드,2030,글로벌 출하량(골드만삭스),13.6,만대,Goldman Sachs
휴머노이드,2035,글로벌 출하량(골드만삭스),210,만대,Goldman Sachs
휴머노이드,2025,누적 출하량(BofA),1.8,만대,Bank of America
휴머노이드,2030,연간 출하량(BofA),100,만대,BofA (2030~2035 구간)
휴머노이드,2025,대당 제조원가,3.5,만달러,업계 추정
휴머노이드,2030,대당 제조원가(전망),1.3~1.7,만달러,업계 추정(5년 내)
휴머노이드,2025,한국 기술력(미·중=100),85,지수,KDI 휴머노이드 로봇산업 동향 및 전망
