기업,기간,지표,값,증감,출처_매체,기사일자,출처_URL,신뢰도 메모
한미반도체,2026Q2,매출,2511억원,분기 사상 최대,전자신문,2026-07-14,https://www.etnews.com/20260714000274,회사 공시 기반 보도
한미반도체,2025,매출,5767억원,창사 이래 최대,Threads(증권 리뷰 계정),2026,https://www.threads.com/@stock_dailyreview/post/DX_mGsciQDK/,2차 정리·원문 공시 확인 권장
한미반도체,2026(E),매출,약 8135억원,+39% 추정,X스토리연구소(증권가 컨센서스 정리),2026,https://xstorylab.com/한미반도체-주가-전망-2026-hbm4-발주-목표-주가-완벽-분석/,블로그 정리 컨센서스
한미반도체,2026(E),영업이익,약 4042억원,+60% 추정·OPM 약 49.6%,X스토리연구소(증권가 컨센서스 정리),2026,https://xstorylab.com/한미반도체-주가-전망-2026-hbm4-발주-목표-주가-완벽-분석/,블로그 정리 컨센서스
한미반도체,2026,신규 생산공장 투자,1300억원,역대 최대 규모 공장 신설,블로터,2026,https://www.bloter.net/news/articleView.html?idxno=671167,언론 보도
원익IPS,2026(E),매출,1조3065억원,+43.6%,X스토리연구소(증권가 컨센서스 정리),2026,https://xstorylab.com/한미반도체-주가-전망-2026-hbm4-발주-목표-주가-완벽-분석/,블로그 정리 컨센서스
원익IPS,2026(E),영업이익,1861억원,+152.1%,X스토리연구소(증권가 컨센서스 정리),2026,https://xstorylab.com/한미반도체-주가-전망-2026-hbm4-발주-목표-주가-완벽-분석/,블로그 정리 컨센서스
이오테크닉스,2026(E),매출,4790억원,,X스토리연구소(증권가 컨센서스 정리),2026,https://xstorylab.com/한미반도체-주가-전망-2026-hbm4-발주-목표-주가-완벽-분석/,블로그 정리 컨센서스
이오테크닉스,2026(E),영업이익,1212억원,,X스토리연구소(증권가 컨센서스 정리),2026,https://xstorylab.com/한미반도체-주가-전망-2026-hbm4-발주-목표-주가-완벽-분석/,블로그 정리 컨센서스
장비업계 전반,2026-08,국내외 대규모 수주 행진,반도체 증설에 장비업체 수주 확대,,파이낸셜뉴스,2026-08-03,https://www.fnnews.com/news/202608031820564791,언론 보도
