구분,항목,값,비고,출처_매체,기사일자,출처_URL
외산 의존,ASML 2026Q1 한국 매출 비중,45%,직전 분기 22%→45%·단일국 최대(대만 23%·중국 19%),전자신문,2026-04-24,https://www.etnews.com/20260424000210
외산 의존,램리서치 2026Q1 한국 매출 비중,23%,직전 분기 대비 +3%p·중국에 이어 2위,전자신문,2026-04-24,https://www.etnews.com/20260424000210
외산 의존,어플라이드머티리얼즈 2026Q1 한국 매출 비중,21%,직전 분기 18%→21%,전자신문,2026-04-24,https://www.etnews.com/20260424000210
국산화,반도체 장비 국산화율,약 20% 수준,소재 30%·장비 10%대 추정치도 병존,국민일보/다음뉴스,2025-12-06,https://v.daum.net/v/20251206060255782
국내 장비사,한미반도체 2026Q2 매출,2511억원,분기 사상 최대,전자신문,2026-07-14,https://www.etnews.com/20260714000274
국내 장비사,한미반도체 2025 매출,5767억원,창사 이래 최대,Threads 증권리뷰(2차 정리),2026,https://www.threads.com/@stock_dailyreview/post/DX_mGsciQDK/
국내 장비사,한미반도체 2026(E) 매출/영업이익,8135억원 / 4042억원,증권가 컨센서스 정리,X스토리연구소(블로그),2026,https://xstorylab.com/한미반도체-주가-전망-2026-hbm4-발주-목표-주가-완벽-분석/
국내 장비사,원익IPS 2026(E) 매출/영업이익,1조3065억원(+43.6%) / 1861억원(+152.1%),증권가 컨센서스 정리,X스토리연구소(블로그),2026,https://xstorylab.com/한미반도체-주가-전망-2026-hbm4-발주-목표-주가-완벽-분석/
국내 장비사,이오테크닉스 2026(E) 매출/영업이익,4790억원 / 1212억원,증권가 컨센서스 정리,X스토리연구소(블로그),2026,https://xstorylab.com/한미반도체-주가-전망-2026-hbm4-발주-목표-주가-완벽-분석/
국내 장비사,HPSP 로직·파운드리향 장비 매출,2025 900억원대 → 2026 1244억원 → 2027 1534억원,고객사 1개(2025)→4개(2026)→5개(2027),대신증권 리포트,2026-04-22,https://file.alphasquare.co.kr/media/pdfs/company-report/57215_260421_HPSP_1Q26_Preview.pdf
업황,소부장 2026 하반기 상저하고,SK하이닉스 M15X 신규 장비 PO가 2Q26 말부터 집중,삼성 P4·테일러팹 가동 가시화,더페어,2026,https://www.thefairnews.co.kr/news/articleView.html?idxno=83838
업황,장비업체 수주 행진,반도체 증설에 국내외 대규모 수주,,파이낸셜뉴스,2026-08-03,https://www.fnnews.com/news/202608031820564791
