year,additions,removals,net,change_dates,constituents_end_of_year,source
2006,32,32,0,24,497,constituent-history-diff
2007,38,38,0,37,497,constituent-history-diff
2008,35,34,1,36,498,constituent-history-diff
2009,29,28,1,24,499,constituent-history-diff
2010,14,16,-2,15,497,constituent-history-diff
2011,19,19,0,19,497,constituent-history-diff
2012,18,18,0,19,497,constituent-history-diff
2013,19,19,0,18,497,constituent-history-diff
2014,16,14,2,15,499,constituent-history-diff
2015,30,27,3,30,502,constituent-history-diff
2016,31,27,4,32,506,constituent-history-diff
2017,27,28,-1,24,505,constituent-history-diff
2018,24,24,0,25,505,constituent-history-diff
2019,29,29,0,22,505,constituent-history-diff
2020,20,20,0,13,505,constituent-history-diff
2021,21,21,0,14,505,constituent-history-diff
2022,22,24,-2,19,503,constituent-history-diff
2023,19,19,0,14,503,constituent-history-diff
2024,20,20,0,14,503,constituent-history-diff
2025,21,21,0,16,503,constituent-history-diff
2026,14,14,0,12,503,constituent-history-diff-through-2026-06-30
