year,additions,removals,tickericons_additions,tickericons_removals,low,high,verdict
2006,32,32,1,1,1,32,tickericons 누락 입증 - diff 채택
2007,38,38,11,11,11,38,tickericons 누락 입증 - diff 채택
2008,35,34,8,8,8,35,tickericons 누락 입증 - diff 채택
2009,29,28,12,12,12,29,tickericons 누락 입증 - diff 채택
2010,14,16,11,11,11,14,tickericons 누락 입증 - diff 채택
2011,19,19,19,19,19,19,양측 완전 일치
2012,18,18,18,18,18,18,양측 완전 일치
2013,19,19,19,19,19,19,양측 완전 일치
2014,16,14,16,14,16,16,양측 완전 일치
2015,30,27,28,26,28,30,양측 +-1~2 근접
2016,31,27,30,29,30,31,양측 +-1~2 근접
2017,27,28,28,28,27,28,양측 +-1~2 근접
2018,24,24,23,23,23,24,양측 +-1~2 근접
2019,29,29,24,24,24,29,티커변경 처리 차이 - 범위
2020,20,20,17,17,17,20,티커변경 처리 차이 - 범위
2021,21,21,19,19,19,21,티커변경 처리 차이 - 범위
2022,22,24,17,19,17,22,티커변경 처리 차이 - 범위
2023,19,19,16,16,16,19,티커변경 처리 차이 - 범위
2024,20,20,16,16,16,20,티커변경 처리 차이 - 범위
2025,21,21,19,19,19,21,티커변경 처리 차이 - 범위
2026,14,14,11,11,11,14,티커변경 처리 차이 - 범위
